Old Naming Conventions,,,
Zone,,,
1,Mt Hood,Mt Hood area,mt-hood
2,Cascade East - White Pass S,East slopes WA Cascades - south of White Pass,cascade-east-white-pass-south
3,Cascade East - Snoq to White,East slopes WA Cascades - between Snoqualmie and White Pass,cascade-east-snoqualmie-to-white-pass
4,Cascade East - Stevens to Snoq,East slopes WA Cascades - between Stevens and Snoqualmie Pass,cascade-east-stevens-to-snoqualmie
5,Cascade East - Stevens Pass N,East slopes WA Cascades - north of Stevens Pass,cascade-east-stevens-pass-north
6,Cascade West - White Pass S,WA Cascades near and west of crest - south of White Pass,cascade-west-white-pass-south
7,Cascade West - Snoq to White,WA Cascades near and west of crest - between Snoqualmie and White Pass,cascade-west-snoqualmie-to-white-pass
8,Cascade West - Stevens to Snoq,WA Cascades near and west of crest - between Stevens and Snoqualmie Pass,cascade-west-stevens-to-snoqualmie
9,Cascade West - Stevens Pass N,WA Cascades near and west of crest - north of Stevens Pass,cascade-west-stevens-pass-north
10,Cascade Pass - White Pass,White Pass,cascade-west-white-pass
11,Cascade Pass - Snoq. Pass,Snoqualmie Pass,cascade-west-snoqualmie-pass
12,Cascade Pass - Stevens Pass,Stevens Pass,cascade-west-stevens-pass
13,Olympics,Olympics,olympics
,,,
New Naming 2014-15,,,
1,Mt Hood,Mt Hood ,mt-hood
2,Cascade West - North,West Slopes North - Canadian Border to Skagit River,cascade-west-north-baker
3,Cascade West - Central,West Slopes Central - Skagit River to South of I-90,cascade-west-central
4,Cascade West - South,West Slopes South - South of I-90 to Columbia River,cascade-west-south
5,Cascade East - North,East Slopes North - Candian Border to Lake Chelan,cascade-east-north
6,Cascade East - Central,East Slopes Central - Lake Chelan to South of I-90,cascade-east-central
7,Cascade East - South,East Slopes South - South of I-90 to Columbia River,cascade-east-south
8,Cascade Pass - Snoq. Pass,Snoqualmie Pass,cascade-west-snoqualmie-pass
9,Cascade Pass - Stevens Pass,Stevens Pass,cascade-west-stevens-pass
10,Olympics,Olympics,olympics
